id,name,energy[kcal],protein[g],fat[g],carbs[g],base_amount[g],vitamins[mg],minerals[mg]
0,ビーフカレー,119,2.4,9,8.1,100,3.74,834.26
1,ぎょうざ,209,6.9,11.3,22.3,100,11.66,731.47
2,えびグラタン,128,5.5,6.9,12.1,100,6.07,745.13
3,コーンクリームスープ,425,8.1,13.7,67.4,100,10.96,3581.2
4,クリームコロッケ,159,4.7,6.3,20.9,100,4.16,536.5
5,ポテトコロッケ,157,4.6,4.9,25.3,100,10.75,672.7
6,いかフライ,146,10.6,2,21.4,100,5.7,606.4
7,えびフライ,139,10.2,1.9,20.3,100,4.21,568.5
8,白身フライ,148,11.6,2.7,19.3,100,5.5,727.5
9,ビーフシチュー,153,4.1,12.6,7.1,100,10.15,596.4
10,しゅうまい,191,9.1,9.2,19.5,100,7.56,928.17
11,えびピラフ,146,3.3,2.3,29.8,100,5.34,689.21
12,ミートボール,199,10.2,12.5,13.4,100,14.61,835.91
13,メンチカツ,196,9.9,7.2,23,100,5.97,767.6
14,ポテトコロッケ,226,5.3,12.6,25.2,100,22.66,625.61
15,いかフライ,227,13.3,11.3,19.7,100,13.86,529.56
16,えびフライ,236,15.9,11.6,20.5,100,16.15,847.46
17,白身フライ,299,9.7,21.8,16.2,100,5.2,727.5
18,メンチカツ,273,10.7,18.7,18.7,100,15.37,740.17
19,松前漬け,166,17,1.4,24.7,100,8.34,2582.23
20,青菜の白和え,81,4.2,3.4,10.5,100,7.79,888.3
21,いんげんのごま和え,77,3.7,3.4,9.1,100,9.79,1004.63
22,わかめとねぎの酢みそ和え,85,3.8,0.9,16.3,100,7.53,987.46
23,紅白なます,34,0.6,0.6,7.2,100,6.94,407.37
24,とん汁,26,1.5,1.5,2,100,2.52,317.45
25,卯の花いり,84,4.4,4.1,10.7,100,6.27,780.52
26,親子丼の具,101,8.4,5.2,5.6,100,6.69,622.52
27,牛飯の具,122,4.1,9.4,6.4,100,5.66,584.63
28,切り干し大根の煮物,48,2.3,2.5,5.7,100,3.23,550
29,きんぴらごぼう,84,1.4,4.5,11.3,100,5.07,599.15
30,ぜんまいのいため煮,80,3.4,4.2,8.7,100,4.13,604.47
31,筑前煮,85,4.4,3.5,10.2,100,8.48,683.26
32,肉じゃが,78,4.3,1.3,13,100,12.34,762.91
33,ひじきのいため煮,75,3.1,4,9.9,100,4.45,929.16
34,アジの南蛮漬け,109,8.1,6.1,6.2,100,12.96,647.04
35,もやしのナムル,70,3.1,4.5,5.7,100,14.84,854.19
36,チキンカレー,131,5.6,8.8,8.4,100,8.96,802.41
37,ポークカレー,116,2.8,8.6,7.7,100,5.62,703.94
38,かぼちゃのクリームスープ,73,1.5,3.9,10.1,100,12.67,540.49
39,カニクリームコロッケ,255,5.1,17.1,22,100,14.28,510.03
40,コーンクリームコロッケ,245,5.1,16,23.4,100,15.32,622.14
41,チキンシチュー,124,6.2,8,7.8,100,13.64,569.11
42,中華ちまき,174,5.9,5.5,27.7,100,6.07,583.4
43,酢豚,77,4.6,3.3,7.6,100,10.17,411.99
44,八宝菜,64,5.8,3.2,3.8,100,11.25,588.24
45,麻婆豆腐,104,7.8,6.8,3.8,100,8.84,725.64
46,合いびきハンバーグ,197,13.4,12.2,10,100,13.39,785.93
47,チキンハンバーグ,171,12.6,10.2,8.5,100,16.35,856.7
48,豆腐ハンバーグ,142,9.9,9.2,8.4,100,14.2,682.64
49,お好み焼き,136,5.2,6.5,15.2,100,16.94,621.14
50,とりから揚げ,204,15.6,10.1,16.1,100,18.63,1165.12
51,かきフライ,289,8.9,18,25.5,100,18.34,685.1
52,春巻き,221,6,19.3,30.2,100,10.97,777.49
53,チャーハン,206,5,5.2,33.3,100,4.99,654.39
